         53412031 function calls (52113818 primitive calls) in 434.365 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  634/632    0.016    0.000    0.272    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
    17813    0.268    0.000    0.268    0.000 rellipsoid.py:313(_2d_cartesian_to_harmonic)
    26252    0.253    0.000    0.253    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.252    0.252 font_manager.py:980(json_dump)
        1    0.022    0.022    0.251    0.251 __init__.py:120(dump)
        1    0.000    0.000    0.251    0.251 optimize.py:20(<module>)
        1    0.000    0.000    0.244    0.244 _numdiff.py:1(<module>)
        1    0.000    0.000    0.236    0.236 rcsetup.py:1(<module>)
    17813    0.119    0.000    0.233    0.000 falloffs.py:11(inletPhaseFalloff)
      924    0.046    0.000    0.233    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
       10    0.000    0.000    0.229    0.023 ivp.py:567(<listcomp>)
    39360    0.229    0.000    0.229    0.000 Isp.py:44(CalcEps)
      510    0.018    0.000    0.228    0.000 <frozen importlib._bootstrap_external>:856(get_code)
      723    0.005    0.000    0.227    0.000 inspect.py:3116(signature)
    73350    0.224    0.000    0.225    0.000 {method 'get' of 'dict' objects}
  767/733    0.020    0.000    0.223    0.000 inspect.py:2232(_signature_from_callable)
      723    0.005    0.000    0.223    0.000 inspect.py:2864(from_callable)
15064/3788    0.089    0.000    0.218    0.000 encoder.py:413(_iterencode)
    65600    0.214    0.000    0.214    0.000 units.py:164(__init__)
    52480    0.207    0.000    0.207    0.000 units.py:197(uval_to_dval)
       28    0.040    0.001    0.207    0.007 __init__.py:785(_rc_params_in_file)
     2049    0.065    0.000    0.204    0.000 ivp.py:130(find_active_events)
    68556    0.203    0.000    0.203    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.195    0.195 fontconfig_pattern.py:1(<module>)
        1    0.001    0.001    0.187    0.187 _axes.py:71(Axes)
    62526    0.184    0.000    0.184    0.000 linalg.py:2359(_norm_dispatcher)
        1    0.000    0.000    0.183    0.183 textpath.py:1(<module>)
    53439    0.183    0.000    0.183    0.000 {built-in method builtins.pow}
      510    0.005    0.000    0.179    0.000 re.py:198(search)
7544/3788    0.042    0.000    0.175    0.000 encoder.py:333(_iterencode_dict)
        1    0.001    0.001    0.172    0.172 pyparsing.py:27(<module>)
